Meso-D3,NMP-D3,PreNeural-D3,p0/p1-D3,EarlyVentral-D3,Meso-D3.2,NMP-D3.2,PreNeural-D3.2,p0/p1-D3.2,EarlyVentral-D3.2,Meso-D3.4,NMP-D3.4,PreNeural-D3.4,p0/p1-D3.4,EarlyVentral-D3.4,Meso-D3.6,NMP-D3.6,PreNeural-D3.6,p0/p1-D3.6,EarlyVentral-D3.6,Meso-D3.8,NMP-D3.8,PreNeural-D3.8,p0/p1-D3.8,EarlyVentral-D3.8,Meso-D4,NMP-D4,PreNeural-D4,p0/p1-D4,EarlyVentral-D4
0.05,0.852,0.0,0.0,0.0,0.052,0.698,0.056,0.0,0.0,0.076,0.304,0.172,0.0,0.0,0.148,0.1,0.354,0.018,0.0,0.19,0.034,0.312,0.108,0.0,0.214,0.014,0.136,0.334,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.642,0.058,0.0,0.0,0.076,0.264,0.214,0.0,0.0,0.134,0.102,0.424,0.014,0.0,0.18,0.034,0.346,0.118,0.0,0.188,0.01,0.162,0.314,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.644,0.062,0.0,0.0,0.098,0.264,0.212,0.0,0.0,0.158,0.106,0.41,0.018,0.0,0.2,0.038,0.302,0.154,0.002,0.222,0.016,0.192,0.338,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.68,0.058,0.0,0.0,0.062,0.274,0.2,0.0,0.0,0.088,0.082,0.37,0.018,0.01,0.116,0.028,0.286,0.108,0.054,0.122,0.012,0.114,0.266,0.124
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.06,0.0,0.0,0.062,0.318,0.202,0.0,0.0,0.12,0.13,0.448,0.026,0.0,0.152,0.06,0.372,0.136,0.0,0.168,0.02,0.246,0.358,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.624,0.062,0.0,0.0,0.07,0.284,0.25,0.0,0.0,0.134,0.128,0.408,0.024,0.0,0.152,0.04,0.286,0.14,0.006,0.17,0.016,0.164,0.384,0.018
0.05,0.852,0.0,0.0,0.0,0.05,0.682,0.068,0.0,0.0,0.074,0.266,0.224,0.0,0.0,0.134,0.106,0.446,0.022,0.0,0.184,0.036,0.41,0.146,0.0,0.2,0.014,0.25,0.336,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.698,0.066,0.0,0.0,0.058,0.282,0.172,0.0,0.0,0.104,0.094,0.432,0.02,0.0,0.14,0.024,0.33,0.126,0.0,0.148,0.008,0.136,0.406,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.676,0.046,0.0,0.0,0.07,0.284,0.214,0.0,0.0,0.118,0.09,0.432,0.016,0.0,0.168,0.032,0.404,0.112,0.0,0.18,0.012,0.202,0.322,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.742,0.054,0.0,0.0,0.072,0.328,0.128,0.0,0.0,0.116,0.094,0.372,0.022,0.002,0.176,0.03,0.36,0.112,0.004,0.196,0.01,0.154,0.35,0.004
0.05,0.852,0.0,0.0,0.0,0.05,0.602,0.056,0.0,0.0,0.08,0.246,0.25,0.0,0.0,0.13,0.09,0.422,0.018,0.006,0.172,0.034,0.342,0.12,0.022,0.182,0.014,0.202,0.326,0.048
0.05,0.852,0.0,0.0,0.0,0.052,0.69,0.04,0.0,0.0,0.072,0.312,0.174,0.0,0.0,0.124,0.104,0.304,0.018,0.002,0.172,0.042,0.226,0.13,0.022,0.176,0.01,0.096,0.358,0.06
0.05,0.852,0.0,0.0,0.0,0.05,0.708,0.058,0.0,0.0,0.068,0.324,0.162,0.0,0.0,0.116,0.114,0.39,0.026,0.0,0.146,0.05,0.306,0.134,0.0,0.16,0.02,0.144,0.402,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.618,0.054,0.0,0.0,0.072,0.214,0.236,0.0,0.0,0.114,0.072,0.414,0.012,0.012,0.136,0.024,0.21,0.134,0.056,0.14,0.012,0.084,0.388,0.118
0.05,0.852,0.0,0.0,0.0,0.05,0.664,0.054,0.0,0.0,0.076,0.316,0.216,0.0,0.0,0.13,0.126,0.374,0.008,0.004,0.152,0.044,0.3,0.104,0.028,0.16,0.03,0.17,0.274,0.08
0.05,0.852,0.0,0.0,0.0,0.052,0.68,0.05,0.0,0.0,0.068,0.318,0.204,0.0,0.0,0.138,0.13,0.406,0.022,0.0,0.182,0.046,0.304,0.154,0.0,0.2,0.02,0.17,0.382,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.664,0.054,0.0,0.0,0.072,0.32,0.196,0.0,0.0,0.126,0.132,0.408,0.024,0.0,0.178,0.056,0.312,0.138,0.0,0.206,0.024,0.172,0.358,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.622,0.054,0.0,0.0,0.09,0.236,0.244,0.0,0.0,0.152,0.066,0.444,0.012,0.004,0.184,0.024,0.314,0.128,0.034,0.194,0.006,0.14,0.326,0.09
0.05,0.852,0.0,0.0,0.0,0.05,0.658,0.05,0.0,0.0,0.086,0.274,0.192,0.0,0.0,0.178,0.084,0.382,0.018,0.0,0.234,0.022,0.326,0.11,0.0,0.256,0.002,0.154,0.32,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.708,0.06,0.0,0.0,0.06,0.298,0.18,0.0,0.0,0.126,0.08,0.384,0.022,0.0,0.168,0.02,0.35,0.126,0.0,0.196,0.012,0.158,0.352,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.646,0.064,0.0,0.0,0.072,0.3,0.254,0.0,0.0,0.124,0.124,0.464,0.016,0.0,0.148,0.056,0.388,0.126,0.0,0.162,0.024,0.2,0.33,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.664,0.068,0.0,0.0,0.05,0.24,0.22,0.0,0.0,0.09,0.062,0.43,0.026,0.01,0.12,0.018,0.236,0.132,0.054,0.126,0.008,0.064,0.358,0.138
0.05,0.852,0.0,0.0,0.0,0.052,0.658,0.054,0.0,0.0,0.078,0.288,0.23,0.0,0.0,0.126,0.112,0.426,0.026,0.0,0.15,0.036,0.334,0.176,0.0,0.162,0.006,0.182,0.43,0.0
