Meso-D3,NMP-D3,PreNeural-D3,p0/p1-D3,EarlyVentral-D3,Meso-D3.2,NMP-D3.2,PreNeural-D3.2,p0/p1-D3.2,EarlyVentral-D3.2,Meso-D3.4,NMP-D3.4,PreNeural-D3.4,p0/p1-D3.4,EarlyVentral-D3.4,Meso-D3.6,NMP-D3.6,PreNeural-D3.6,p0/p1-D3.6,EarlyVentral-D3.6,Meso-D3.8,NMP-D3.8,PreNeural-D3.8,p0/p1-D3.8,EarlyVentral-D3.8,Meso-D4,NMP-D4,PreNeural-D4,p0/p1-D4,EarlyVentral-D4
0.05,0.852,0.0,0.0,0.0,0.05,0.668,0.056,0.0,0.0,0.07,0.286,0.214,0.0,0.0,0.122,0.106,0.374,0.016,0.0,0.144,0.032,0.27,0.154,0.006,0.154,0.01,0.136,0.404,0.008
0.05,0.852,0.0,0.0,0.0,0.05,0.632,0.048,0.0,0.0,0.096,0.246,0.2,0.0,0.0,0.174,0.096,0.366,0.024,0.0,0.208,0.03,0.244,0.152,0.008,0.228,0.01,0.114,0.362,0.018
0.05,0.852,0.0,0.0,0.0,0.052,0.67,0.056,0.0,0.0,0.074,0.308,0.214,0.0,0.0,0.12,0.108,0.39,0.024,0.0,0.162,0.034,0.298,0.148,0.004,0.178,0.014,0.15,0.362,0.016
0.05,0.852,0.0,0.0,0.0,0.05,0.648,0.054,0.0,0.0,0.07,0.318,0.218,0.0,0.0,0.134,0.14,0.398,0.024,0.0,0.158,0.072,0.302,0.144,0.0,0.18,0.024,0.154,0.37,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.672,0.062,0.0,0.0,0.08,0.302,0.19,0.0,0.0,0.134,0.098,0.392,0.024,0.0,0.174,0.036,0.37,0.15,0.004,0.194,0.016,0.212,0.324,0.018
0.05,0.852,0.0,0.0,0.0,0.05,0.602,0.05,0.0,0.0,0.074,0.262,0.244,0.0,0.0,0.116,0.094,0.394,0.02,0.012,0.138,0.046,0.276,0.148,0.038,0.144,0.018,0.134,0.326,0.098
0.05,0.852,0.0,0.0,0.0,0.054,0.628,0.058,0.0,0.0,0.072,0.268,0.228,0.0,0.0,0.104,0.11,0.374,0.02,0.008,0.124,0.036,0.216,0.16,0.05,0.126,0.012,0.118,0.362,0.13
0.05,0.852,0.0,0.0,0.0,0.052,0.656,0.058,0.0,0.0,0.068,0.29,0.232,0.0,0.0,0.1,0.106,0.4,0.018,0.004,0.13,0.042,0.306,0.124,0.02,0.14,0.014,0.136,0.366,0.038
0.05,0.852,0.0,0.0,0.0,0.05,0.668,0.048,0.0,0.0,0.08,0.252,0.208,0.0,0.0,0.152,0.08,0.466,0.016,0.0,0.164,0.036,0.36,0.118,0.0,0.168,0.01,0.156,0.38,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.706,0.05,0.0,0.0,0.056,0.324,0.194,0.0,0.0,0.096,0.112,0.404,0.016,0.0,0.146,0.024,0.346,0.112,0.0,0.154,0.01,0.18,0.356,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.684,0.062,0.0,0.0,0.088,0.346,0.164,0.0,0.0,0.168,0.1,0.332,0.032,0.0,0.228,0.038,0.288,0.158,0.0,0.26,0.018,0.152,0.378,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.646,0.056,0.0,0.0,0.072,0.296,0.218,0.0,0.0,0.1,0.1,0.466,0.016,0.0,0.148,0.044,0.366,0.114,0.0,0.16,0.016,0.18,0.336,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.636,0.062,0.0,0.0,0.082,0.244,0.21,0.0,0.0,0.158,0.08,0.34,0.012,0.004,0.198,0.022,0.24,0.148,0.018,0.22,0.01,0.094,0.368,0.04
0.05,0.852,0.0,0.0,0.0,0.05,0.606,0.044,0.0,0.0,0.082,0.254,0.22,0.0,0.0,0.172,0.082,0.366,0.012,0.004,0.21,0.028,0.24,0.13,0.018,0.224,0.01,0.092,0.364,0.042
0.05,0.852,0.0,0.0,0.0,0.054,0.668,0.06,0.0,0.0,0.074,0.288,0.178,0.0,0.0,0.15,0.104,0.298,0.038,0.018,0.2,0.036,0.206,0.184,0.048,0.212,0.016,0.086,0.358,0.12
0.05,0.852,0.0,0.0,0.0,0.05,0.682,0.054,0.0,0.0,0.058,0.252,0.206,0.0,0.0,0.14,0.072,0.434,0.008,0.0,0.184,0.026,0.368,0.102,0.008,0.192,0.008,0.156,0.296,0.026
0.05,0.852,0.0,0.0,0.0,0.05,0.67,0.054,0.0,0.0,0.072,0.312,0.202,0.0,0.0,0.132,0.126,0.408,0.014,0.0,0.18,0.04,0.334,0.112,0.0,0.192,0.016,0.178,0.336,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.704,0.064,0.0,0.0,0.06,0.292,0.192,0.0,0.0,0.116,0.116,0.4,0.03,0.0,0.152,0.034,0.322,0.152,0.0,0.18,0.016,0.166,0.418,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.69,0.056,0.0,0.0,0.078,0.326,0.184,0.0,0.0,0.156,0.114,0.348,0.022,0.0,0.206,0.05,0.284,0.128,0.002,0.236,0.014,0.134,0.338,0.006
0.05,0.852,0.0,0.0,0.0,0.052,0.722,0.062,0.0,0.0,0.062,0.324,0.166,0.0,0.0,0.124,0.112,0.388,0.028,0.0,0.186,0.038,0.338,0.16,0.0,0.206,0.01,0.18,0.372,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.67,0.044,0.0,0.0,0.088,0.29,0.192,0.0,0.0,0.174,0.104,0.41,0.022,0.0,0.216,0.046,0.344,0.124,0.0,0.238,0.016,0.244,0.342,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.698,0.068,0.0,0.0,0.062,0.27,0.192,0.0,0.0,0.122,0.07,0.442,0.018,0.0,0.17,0.026,0.402,0.124,0.0,0.188,0.012,0.208,0.36,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.654,0.048,0.0,0.0,0.066,0.228,0.216,0.0,0.0,0.12,0.054,0.376,0.012,0.008,0.15,0.012,0.208,0.142,0.042,0.152,0.002,0.056,0.4,0.084
0.05,0.852,0.0,0.0,0.0,0.05,0.672,0.046,0.0,0.0,0.074,0.288,0.224,0.0,0.0,0.11,0.122,0.456,0.022,0.0,0.154,0.044,0.34,0.13,0.0,0.168,0.01,0.188,0.392,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.664,0.04,0.0,0.0,0.086,0.252,0.188,0.0,0.0,0.148,0.084,0.418,0.028,0.0,0.202,0.022,0.294,0.158,0.0,0.232,0.01,0.138,0.412,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.728,0.054,0.0,0.0,0.06,0.29,0.154,0.0,0.0,0.14,0.08,0.42,0.022,0.0,0.18,0.034,0.342,0.12,0.0,0.194,0.004,0.15,0.394,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.06,0.0,0.0,0.07,0.266,0.176,0.0,0.0,0.12,0.104,0.462,0.01,0.0,0.15,0.036,0.326,0.096,0.0,0.166,0.008,0.158,0.356,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.658,0.042,0.0,0.0,0.08,0.27,0.208,0.0,0.0,0.136,0.092,0.38,0.016,0.0,0.182,0.036,0.236,0.126,0.0,0.196,0.012,0.13,0.388,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.716,0.05,0.0,0.0,0.068,0.312,0.164,0.0,0.0,0.114,0.108,0.4,0.022,0.004,0.158,0.036,0.32,0.108,0.006,0.172,0.01,0.158,0.338,0.022
0.05,0.852,0.0,0.0,0.0,0.054,0.708,0.05,0.0,0.0,0.068,0.35,0.174,0.0,0.0,0.098,0.108,0.366,0.006,0.004,0.116,0.048,0.344,0.1,0.056,0.134,0.01,0.138,0.238,0.14
0.05,0.852,0.0,0.0,0.0,0.05,0.67,0.052,0.0,0.0,0.066,0.28,0.2,0.0,0.0,0.14,0.106,0.444,0.006,0.0,0.188,0.034,0.338,0.084,0.0,0.22,0.016,0.158,0.31,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.67,0.052,0.0,0.0,0.078,0.276,0.19,0.0,0.0,0.17,0.098,0.414,0.018,0.0,0.224,0.036,0.33,0.116,0.0,0.25,0.012,0.18,0.328,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.68,0.058,0.0,0.0,0.072,0.21,0.202,0.0,0.0,0.152,0.052,0.418,0.016,0.006,0.194,0.008,0.278,0.118,0.036,0.204,0.002,0.132,0.286,0.124
0.05,0.852,0.0,0.0,0.0,0.05,0.644,0.062,0.0,0.0,0.09,0.196,0.182,0.0,0.0,0.15,0.038,0.418,0.02,0.008,0.202,0.014,0.266,0.108,0.042,0.212,0.002,0.076,0.262,0.138
0.05,0.852,0.0,0.0,0.0,0.052,0.644,0.062,0.0,0.0,0.08,0.286,0.214,0.0,0.0,0.136,0.128,0.418,0.02,0.0,0.174,0.054,0.356,0.124,0.0,0.196,0.024,0.226,0.33,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.706,0.064,0.0,0.0,0.066,0.298,0.198,0.0,0.0,0.128,0.118,0.356,0.018,0.0,0.18,0.042,0.29,0.17,0.0,0.2,0.008,0.126,0.388,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.72,0.058,0.0,0.0,0.074,0.284,0.182,0.0,0.0,0.116,0.094,0.474,0.012,0.0,0.146,0.036,0.41,0.092,0.0,0.152,0.01,0.194,0.354,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.596,0.05,0.0,0.0,0.08,0.238,0.242,0.0,0.0,0.142,0.074,0.36,0.012,0.008,0.19,0.024,0.23,0.142,0.042,0.212,0.008,0.084,0.364,0.082
0.05,0.852,0.0,0.0,0.0,0.05,0.742,0.05,0.0,0.0,0.058,0.298,0.158,0.0,0.0,0.126,0.094,0.428,0.02,0.0,0.188,0.034,0.418,0.114,0.0,0.202,0.012,0.22,0.33,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.672,0.07,0.0,0.0,0.064,0.258,0.176,0.0,0.0,0.116,0.08,0.39,0.026,0.02,0.152,0.028,0.242,0.142,0.082,0.17,0.012,0.082,0.368,0.158
0.05,0.852,0.0,0.0,0.0,0.05,0.666,0.052,0.0,0.0,0.072,0.286,0.224,0.0,0.0,0.134,0.124,0.43,0.016,0.0,0.18,0.046,0.36,0.134,0.0,0.19,0.018,0.212,0.37,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.67,0.052,0.0,0.0,0.078,0.274,0.212,0.0,0.0,0.114,0.082,0.48,0.022,0.0,0.156,0.02,0.396,0.122,0.0,0.166,0.004,0.172,0.386,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.65,0.058,0.0,0.0,0.086,0.29,0.194,0.0,0.0,0.138,0.128,0.418,0.038,0.002,0.2,0.048,0.368,0.148,0.004,0.22,0.018,0.226,0.318,0.004
0.05,0.852,0.0,0.0,0.0,0.056,0.67,0.048,0.0,0.0,0.064,0.286,0.228,0.0,0.0,0.092,0.096,0.406,0.016,0.004,0.102,0.03,0.338,0.132,0.014,0.11,0.008,0.126,0.346,0.034
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.062,0.0,0.0,0.064,0.302,0.192,0.0,0.0,0.114,0.108,0.42,0.02,0.0,0.156,0.05,0.344,0.114,0.0,0.17,0.014,0.194,0.338,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.618,0.056,0.0,0.0,0.072,0.242,0.252,0.0,0.0,0.126,0.088,0.422,0.034,0.006,0.14,0.044,0.328,0.146,0.014,0.154,0.014,0.14,0.374,0.02
0.05,0.852,0.0,0.0,0.0,0.05,0.674,0.042,0.0,0.0,0.086,0.298,0.18,0.0,0.0,0.154,0.102,0.362,0.018,0.0,0.192,0.05,0.26,0.122,0.0,0.212,0.028,0.114,0.372,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.68,0.044,0.0,0.0,0.072,0.288,0.168,0.0,0.0,0.128,0.096,0.434,0.02,0.0,0.156,0.036,0.294,0.136,0.0,0.172,0.018,0.122,0.43,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.652,0.06,0.0,0.0,0.068,0.234,0.234,0.0,0.0,0.128,0.074,0.452,0.014,0.008,0.164,0.018,0.342,0.1,0.026,0.17,0.002,0.154,0.324,0.062
0.05,0.852,0.0,0.0,0.0,0.05,0.684,0.048,0.0,0.0,0.07,0.27,0.21,0.0,0.0,0.116,0.066,0.454,0.008,0.01,0.146,0.018,0.376,0.082,0.038,0.158,0.006,0.168,0.226,0.1
0.05,0.852,0.0,0.0,0.0,0.05,0.65,0.056,0.0,0.0,0.062,0.278,0.186,0.0,0.0,0.094,0.086,0.362,0.014,0.004,0.122,0.028,0.238,0.106,0.022,0.126,0.01,0.09,0.358,0.062
0.05,0.852,0.0,0.0,0.0,0.05,0.674,0.048,0.0,0.0,0.07,0.276,0.192,0.0,0.0,0.128,0.11,0.39,0.034,0.0,0.166,0.048,0.292,0.154,0.0,0.188,0.018,0.108,0.398,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.672,0.058,0.0,0.0,0.064,0.284,0.194,0.0,0.0,0.122,0.118,0.416,0.014,0.0,0.152,0.05,0.304,0.13,0.0,0.174,0.016,0.174,0.36,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.686,0.056,0.0,0.0,0.064,0.304,0.192,0.0,0.0,0.104,0.118,0.418,0.014,0.0,0.132,0.036,0.318,0.138,0.0,0.142,0.01,0.166,0.4,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.626,0.07,0.0,0.0,0.076,0.278,0.24,0.0,0.0,0.124,0.1,0.454,0.018,0.0,0.15,0.036,0.354,0.128,0.0,0.174,0.016,0.204,0.37,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.054,0.0,0.0,0.058,0.268,0.194,0.0,0.0,0.094,0.092,0.352,0.014,0.008,0.11,0.04,0.236,0.128,0.038,0.126,0.022,0.102,0.362,0.098
0.05,0.852,0.0,0.0,0.0,0.052,0.658,0.058,0.0,0.0,0.078,0.198,0.198,0.0,0.0,0.17,0.068,0.454,0.022,0.002,0.214,0.018,0.336,0.118,0.006,0.24,0.012,0.146,0.336,0.03
0.05,0.852,0.0,0.0,0.0,0.05,0.708,0.052,0.0,0.0,0.066,0.284,0.182,0.0,0.0,0.122,0.08,0.42,0.004,0.0,0.166,0.024,0.334,0.09,0.0,0.18,0.01,0.128,0.336,0.0
0.05,0.852,0.0,0.0,0.0,0.056,0.674,0.054,0.0,0.0,0.08,0.308,0.184,0.002,0.0,0.136,0.13,0.386,0.034,0.0,0.178,0.056,0.294,0.15,0.0,0.204,0.02,0.156,0.378,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.772,0.042,0.0,0.0,0.056,0.338,0.132,0.0,0.0,0.106,0.102,0.382,0.022,0.0,0.146,0.028,0.358,0.128,0.0,0.162,0.006,0.14,0.364,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.694,0.048,0.0,0.0,0.068,0.308,0.182,0.0,0.0,0.104,0.116,0.404,0.012,0.0,0.138,0.046,0.306,0.108,0.002,0.158,0.02,0.156,0.352,0.006
0.05,0.852,0.0,0.0,0.0,0.052,0.72,0.058,0.0,0.0,0.058,0.292,0.176,0.0,0.0,0.08,0.096,0.454,0.028,0.0,0.114,0.034,0.312,0.124,0.024,0.114,0.012,0.12,0.392,0.062
0.05,0.852,0.0,0.0,0.0,0.052,0.636,0.05,0.0,0.0,0.084,0.28,0.248,0.0,0.0,0.13,0.114,0.41,0.022,0.0,0.158,0.054,0.326,0.132,0.014,0.176,0.012,0.176,0.328,0.032
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.062,0.0,0.0,0.064,0.252,0.18,0.0,0.0,0.12,0.09,0.396,0.024,0.008,0.152,0.032,0.25,0.106,0.042,0.164,0.006,0.098,0.34,0.124
0.05,0.852,0.0,0.0,0.0,0.052,0.732,0.048,0.0,0.0,0.076,0.264,0.15,0.0,0.0,0.144,0.086,0.432,0.022,0.0,0.192,0.022,0.35,0.118,0.0,0.212,0.002,0.148,0.358,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.7,0.06,0.0,0.0,0.072,0.304,0.216,0.0,0.0,0.124,0.12,0.448,0.014,0.0,0.154,0.05,0.396,0.14,0.0,0.164,0.024,0.242,0.354,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.69,0.066,0.0,0.0,0.064,0.296,0.228,0.0,0.0,0.098,0.098,0.464,0.018,0.004,0.118,0.026,0.382,0.136,0.012,0.13,0.012,0.212,0.356,0.02
0.05,0.852,0.0,0.0,0.0,0.052,0.666,0.048,0.0,0.0,0.076,0.288,0.196,0.0,0.0,0.14,0.098,0.398,0.03,0.0,0.192,0.04,0.346,0.142,0.0,0.21,0.014,0.186,0.358,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.646,0.054,0.0,0.0,0.074,0.274,0.202,0.0,0.0,0.13,0.086,0.356,0.014,0.002,0.18,0.04,0.228,0.116,0.028,0.192,0.008,0.1,0.324,0.07
0.05,0.852,0.0,0.0,0.0,0.05,0.654,0.052,0.0,0.0,0.072,0.286,0.224,0.0,0.0,0.112,0.11,0.41,0.016,0.0,0.136,0.034,0.266,0.122,0.0,0.15,0.012,0.138,0.362,0.002
0.05,0.852,0.0,0.0,0.0,0.052,0.674,0.05,0.0,0.0,0.066,0.278,0.194,0.0,0.0,0.128,0.08,0.44,0.01,0.0,0.174,0.024,0.29,0.12,0.0,0.202,0.01,0.116,0.392,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.668,0.054,0.0,0.0,0.066,0.286,0.232,0.0,0.0,0.114,0.088,0.458,0.012,0.0,0.15,0.032,0.37,0.126,0.0,0.16,0.012,0.222,0.342,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.684,0.046,0.0,0.0,0.074,0.306,0.198,0.0,0.0,0.116,0.114,0.382,0.01,0.002,0.138,0.038,0.314,0.114,0.004,0.152,0.018,0.118,0.37,0.008
0.05,0.852,0.0,0.0,0.0,0.054,0.668,0.05,0.0,0.0,0.078,0.256,0.208,0.0,0.0,0.158,0.094,0.386,0.028,0.006,0.21,0.038,0.284,0.16,0.022,0.218,0.026,0.14,0.362,0.042
0.05,0.852,0.0,0.0,0.0,0.054,0.638,0.034,0.0,0.0,0.074,0.264,0.206,0.0,0.0,0.114,0.102,0.35,0.016,0.006,0.152,0.032,0.186,0.104,0.038,0.16,0.01,0.08,0.324,0.098
0.05,0.852,0.0,0.0,0.0,0.056,0.664,0.048,0.0,0.0,0.076,0.29,0.216,0.0,0.0,0.12,0.098,0.46,0.024,0.0,0.148,0.036,0.396,0.112,0.0,0.164,0.028,0.244,0.338,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.644,0.046,0.0,0.0,0.08,0.198,0.19,0.0,0.0,0.124,0.064,0.402,0.006,0.002,0.162,0.014,0.176,0.122,0.024,0.178,0.002,0.054,0.364,0.084
0.05,0.852,0.0,0.0,0.0,0.05,0.668,0.05,0.0,0.0,0.068,0.27,0.236,0.0,0.0,0.128,0.082,0.43,0.012,0.0,0.172,0.02,0.352,0.134,0.0,0.194,0.004,0.188,0.332,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.66,0.048,0.0,0.0,0.092,0.278,0.186,0.0,0.0,0.162,0.104,0.398,0.018,0.0,0.202,0.044,0.292,0.15,0.0,0.21,0.006,0.138,0.404,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.656,0.046,0.0,0.0,0.072,0.246,0.194,0.0,0.0,0.138,0.08,0.406,0.01,0.0,0.172,0.016,0.272,0.118,0.0,0.178,0.01,0.108,0.402,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.71,0.05,0.0,0.0,0.068,0.344,0.182,0.0,0.0,0.118,0.118,0.394,0.018,0.0,0.152,0.052,0.372,0.118,0.0,0.16,0.024,0.164,0.332,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.684,0.058,0.0,0.0,0.064,0.29,0.22,0.0,0.0,0.122,0.11,0.416,0.02,0.0,0.152,0.048,0.332,0.136,0.0,0.166,0.02,0.172,0.376,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.648,0.064,0.0,0.0,0.072,0.264,0.208,0.0,0.0,0.124,0.108,0.382,0.018,0.004,0.154,0.042,0.278,0.158,0.016,0.17,0.018,0.124,0.372,0.052
0.05,0.852,0.0,0.0,0.0,0.052,0.626,0.048,0.0,0.0,0.08,0.254,0.222,0.0,0.0,0.14,0.074,0.424,0.012,0.0,0.178,0.028,0.342,0.124,0.0,0.202,0.008,0.172,0.368,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.634,0.06,0.0,0.0,0.068,0.236,0.22,0.0,0.0,0.138,0.1,0.45,0.016,0.0,0.186,0.03,0.306,0.128,0.006,0.202,0.01,0.152,0.386,0.008
0.05,0.852,0.0,0.0,0.0,0.054,0.636,0.052,0.0,0.0,0.068,0.268,0.232,0.0,0.0,0.108,0.084,0.396,0.014,0.0,0.142,0.034,0.29,0.142,0.008,0.154,0.02,0.124,0.402,0.014
0.05,0.852,0.0,0.0,0.0,0.05,0.668,0.052,0.0,0.0,0.06,0.268,0.234,0.0,0.0,0.102,0.088,0.44,0.02,0.0,0.13,0.036,0.328,0.15,0.0,0.148,0.014,0.12,0.396,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.668,0.048,0.0,0.0,0.086,0.234,0.192,0.0,0.0,0.142,0.074,0.478,0.014,0.006,0.17,0.03,0.328,0.08,0.042,0.186,0.006,0.148,0.24,0.138
0.05,0.852,0.0,0.0,0.0,0.052,0.672,0.062,0.0,0.0,0.076,0.324,0.216,0.0,0.0,0.142,0.146,0.412,0.034,0.0,0.19,0.068,0.328,0.14,0.0,0.21,0.036,0.16,0.378,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.658,0.066,0.0,0.0,0.066,0.284,0.236,0.0,0.0,0.116,0.104,0.426,0.016,0.0,0.162,0.032,0.378,0.132,0.0,0.176,0.01,0.232,0.338,0.002
0.05,0.852,0.0,0.0,0.0,0.052,0.662,0.056,0.0,0.0,0.086,0.296,0.198,0.0,0.0,0.166,0.094,0.328,0.022,0.002,0.212,0.028,0.252,0.182,0.018,0.228,0.006,0.122,0.398,0.028
0.05,0.852,0.0,0.0,0.0,0.052,0.658,0.054,0.0,0.0,0.072,0.29,0.222,0.0,0.0,0.136,0.094,0.408,0.006,0.002,0.194,0.034,0.334,0.106,0.02,0.198,0.014,0.178,0.302,0.052
0.05,0.852,0.0,0.0,0.0,0.05,0.682,0.062,0.0,0.0,0.064,0.338,0.176,0.0,0.0,0.114,0.136,0.346,0.036,0.006,0.152,0.056,0.268,0.124,0.046,0.168,0.024,0.134,0.32,0.096
0.05,0.852,0.0,0.0,0.0,0.054,0.68,0.044,0.0,0.0,0.064,0.296,0.186,0.0,0.0,0.11,0.102,0.402,0.008,0.0,0.15,0.038,0.34,0.106,0.0,0.162,0.008,0.158,0.344,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.656,0.05,0.0,0.0,0.066,0.254,0.226,0.0,0.0,0.132,0.078,0.468,0.024,0.0,0.17,0.018,0.4,0.15,0.0,0.178,0.01,0.192,0.368,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.644,0.06,0.0,0.0,0.07,0.29,0.238,0.0,0.0,0.104,0.116,0.406,0.02,0.0,0.13,0.058,0.32,0.128,0.01,0.146,0.02,0.182,0.322,0.054
0.05,0.852,0.0,0.0,0.0,0.05,0.63,0.046,0.0,0.0,0.068,0.26,0.224,0.0,0.0,0.104,0.088,0.362,0.02,0.004,0.122,0.04,0.198,0.138,0.04,0.128,0.012,0.084,0.35,0.106
0.05,0.852,0.0,0.0,0.0,0.05,0.702,0.052,0.0,0.0,0.066,0.31,0.204,0.0,0.0,0.132,0.114,0.406,0.012,0.0,0.176,0.03,0.342,0.118,0.0,0.192,0.012,0.22,0.358,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.636,0.066,0.0,0.0,0.076,0.278,0.226,0.0,0.0,0.112,0.096,0.44,0.012,0.0,0.148,0.028,0.294,0.118,0.008,0.156,0.008,0.146,0.348,0.01
0.05,0.852,0.0,0.0,0.0,0.05,0.7,0.064,0.0,0.0,0.07,0.298,0.172,0.0,0.0,0.124,0.11,0.382,0.008,0.012,0.158,0.032,0.326,0.088,0.04,0.172,0.006,0.136,0.238,0.094
0.05,0.852,0.0,0.0,0.0,0.05,0.632,0.054,0.0,0.0,0.09,0.234,0.206,0.0,0.0,0.146,0.08,0.444,0.026,0.006,0.168,0.024,0.346,0.104,0.024,0.176,0.008,0.186,0.334,0.05
0.05,0.852,0.0,0.0,0.0,0.05,0.702,0.064,0.0,0.0,0.058,0.306,0.21,0.0,0.0,0.09,0.088,0.444,0.012,0.0,0.118,0.024,0.4,0.138,0.0,0.126,0.004,0.2,0.386,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.62,0.052,0.0,0.0,0.066,0.296,0.246,0.0,0.0,0.12,0.108,0.434,0.024,0.0,0.14,0.052,0.376,0.142,0.0,0.148,0.026,0.178,0.334,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.72,0.058,0.0,0.0,0.066,0.33,0.164,0.0,0.0,0.122,0.108,0.418,0.026,0.0,0.172,0.034,0.376,0.122,0.0,0.186,0.014,0.23,0.344,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.748,0.06,0.0,0.0,0.06,0.332,0.164,0.0,0.0,0.098,0.102,0.428,0.024,0.0,0.124,0.026,0.418,0.118,0.0,0.134,0.014,0.224,0.354,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.714,0.07,0.0,0.0,0.06,0.318,0.176,0.0,0.0,0.134,0.1,0.384,0.04,0.0,0.186,0.036,0.328,0.168,0.0,0.21,0.01,0.182,0.402,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.628,0.06,0.0,0.0,0.092,0.23,0.236,0.0,0.0,0.178,0.074,0.422,0.018,0.004,0.216,0.024,0.278,0.112,0.034,0.224,0.01,0.158,0.33,0.074
0.05,0.852,0.0,0.0,0.0,0.052,0.688,0.054,0.0,0.0,0.07,0.324,0.2,0.0,0.0,0.124,0.128,0.394,0.022,0.0,0.174,0.052,0.296,0.114,0.0,0.206,0.018,0.154,0.346,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.696,0.038,0.0,0.0,0.066,0.294,0.194,0.0,0.0,0.126,0.098,0.426,0.02,0.0,0.162,0.044,0.38,0.136,0.002,0.174,0.022,0.206,0.344,0.004
0.05,0.852,0.0,0.0,0.0,0.05,0.634,0.064,0.0,0.0,0.068,0.286,0.228,0.0,0.0,0.116,0.122,0.422,0.016,0.002,0.14,0.05,0.256,0.128,0.01,0.152,0.01,0.158,0.356,0.054
0.05,0.852,0.0,0.0,0.0,0.054,0.64,0.05,0.0,0.0,0.1,0.298,0.21,0.0,0.0,0.168,0.108,0.388,0.026,0.0,0.206,0.044,0.314,0.148,0.0,0.226,0.014,0.176,0.368,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.706,0.058,0.0,0.0,0.064,0.318,0.176,0.0,0.0,0.114,0.108,0.41,0.02,0.0,0.16,0.042,0.354,0.116,0.0,0.174,0.02,0.168,0.314,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.64,0.066,0.0,0.0,0.096,0.26,0.228,0.0,0.0,0.154,0.094,0.416,0.054,0.0,0.198,0.038,0.352,0.172,0.0,0.214,0.008,0.184,0.392,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.662,0.058,0.0,0.0,0.076,0.298,0.22,0.0,0.0,0.15,0.102,0.416,0.016,0.0,0.178,0.048,0.384,0.13,0.0,0.19,0.022,0.204,0.332,0.0
